bucket_start,bucket_end,symbol,scenario,event_count,avg_price,total_quantity,avg_ingestion_latency_ms,p95_ingestion_latency_ms,max_ingestion_latency_ms
2026-09-07 22:37:20+00,2026-09-07 22:37:30+00,AAPL,low,6,169.511667,4142,13.83,15,15
2026-09-07 22:37:20+00,2026-09-07 22:37:30+00,ABEV3,low,13,11.976923,7909,13.85,15,15
2026-09-07 22:37:20+00,2026-09-07 22:37:30+00,BBDC4,low,3,14.023333,1051,15.33,18,18
2026-09-07 22:37:20+00,2026-09-07 22:37:30+00,BOVA11,low,11,124.448182,4606,14.09,16,16
2026-09-07 22:37:20+00,2026-09-07 22:37:30+00,BTC-USD,low,5,64773.152000,2081,13.60,14,14
2026-09-07 22:37:20+00,2026-09-07 22:37:30+00,ITUB4,low,8,33.897500,4893,16.75,36,36
2026-09-07 22:37:20+00,2026-09-07 22:37:30+00,MGLU3,low,6,2.006667,3369,13.50,15,15
2026-09-07 22:37:20+00,2026-09-07 22:37:30+00,MSFT,low,9,418.523333,4474,14.00,15,15
2026-09-07 22:37:20+00,2026-09-07 22:37:30+00,PETR4,low,8,38.067500,3092,14.38,17,17
2026-09-07 22:37:20+00,2026-09-07 22:37:30+00,VALE3,low,8,62.130000,3678,14.88,20,20
2026-09-07 22:37:30+00,2026-09-07 22:37:40+00,AAPL,low,5,170.038000,1168,13.40,16,16
2026-09-07 22:37:30+00,2026-09-07 22:37:40+00,ABEV3,low,6,12.001667,3092,12.67,13,13
2026-09-07 22:37:30+00,2026-09-07 22:37:40+00,BBDC4,low,4,14.067500,2216,152.50,571,571
2026-09-07 22:37:30+00,2026-09-07 22:37:40+00,BOVA11,low,12,124.771667,5733,39.67,271,271
2026-09-07 22:37:30+00,2026-09-07 22:37:40+00,BTC-USD,low,13,65031.680769,5956,25.38,172,172
2026-09-07 22:37:30+00,2026-09-07 22:37:40+00,ITUB4,low,12,33.933333,5410,13.08,14,14
2026-09-07 22:37:30+00,2026-09-07 22:37:40+00,MGLU3,low,8,2.000000,3246,13.25,14,14
2026-09-07 22:37:30+00,2026-09-07 22:37:40+00,MSFT,low,13,420.175385,5654,13.23,14,14
2026-09-07 22:37:30+00,2026-09-07 22:37:40+00,PETR4,low,12,37.804167,3959,13.08,14,14
2026-09-07 22:37:30+00,2026-09-07 22:37:40+00,VALE3,low,15,61.902667,7081,13.60,18,18
2026-09-07 22:37:40+00,2026-09-07 22:37:50+00,AAPL,low,12,169.889167,4947,13.33,15,15
2026-09-07 22:37:40+00,2026-09-07 22:37:50+00,ABEV3,low,8,12.026250,4246,13.13,14,14
2026-09-07 22:37:40+00,2026-09-07 22:37:50+00,BBDC4,low,12,14.065833,5899,13.17,14,14
2026-09-07 22:37:40+00,2026-09-07 22:37:50+00,BOVA11,low,10,124.450000,4137,13.40,15,15
2026-09-07 22:37:40+00,2026-09-07 22:37:50+00,BTC-USD,low,15,65020.004000,7400,13.67,17,17
