bucket_start,bucket_end,symbol,scenario,event_count,avg_price,total_quantity,avg_ingestion_latency_ms,p95_ingestion_latency_ms,max_ingestion_latency_ms
2026-09-07 22:08:00+00,2026-09-07 22:08:10+00,AAPL,low,2,170.530000,669,13.50,14,14
2026-09-07 22:08:00+00,2026-09-07 22:08:10+00,ABEV3,low,2,12.095000,889,13.00,13,13
2026-09-07 22:08:00+00,2026-09-07 22:08:10+00,BBDC4,low,2,14.005000,1652,13.50,14,14
2026-09-07 22:08:00+00,2026-09-07 22:08:10+00,BTC-USD,low,1,65336.030000,854,34.00,34,34
2026-09-07 22:08:00+00,2026-09-07 22:08:10+00,ITUB4,low,1,34.440000,514,14.00,14,14
2026-09-07 22:08:00+00,2026-09-07 22:08:10+00,MGLU3,low,2,2.010000,530,14.00,14,14
2026-09-07 22:08:00+00,2026-09-07 22:08:10+00,PETR4,low,1,38.370000,945,13.00,13,13
2026-09-07 22:08:10+00,2026-09-07 22:08:20+00,AAPL,low,13,171.053846,7202,13.85,18,18
2026-09-07 22:08:10+00,2026-09-07 22:08:20+00,ABEV3,low,8,12.073750,5132,186.88,1394,1394
2026-09-07 22:08:10+00,2026-09-07 22:08:20+00,BBDC4,low,9,13.963333,4722,144.44,1196,1196
2026-09-07 22:08:10+00,2026-09-07 22:08:20+00,BOVA11,low,11,124.556364,7791,164.45,800,800
2026-09-07 22:08:10+00,2026-09-07 22:08:20+00,BTC-USD,low,12,64683.515000,7018,103.42,999,999
2026-09-07 22:08:10+00,2026-09-07 22:08:20+00,ITUB4,low,15,33.878667,6191,13.40,15,15
2026-09-07 22:08:10+00,2026-09-07 22:08:20+00,MGLU3,low,9,1.987778,3973,242.33,1097,1097
2026-09-07 22:08:10+00,2026-09-07 22:08:20+00,MSFT,low,16,418.904375,9863,93.81,1295,1295
2026-09-07 22:08:10+00,2026-09-07 22:08:20+00,PETR4,low,5,38.016000,1798,307.60,899,899
2026-09-07 22:08:10+00,2026-09-07 22:08:20+00,VALE3,low,9,61.763333,3189,18.22,36,36
2026-09-07 22:08:20+00,2026-09-07 22:08:30+00,AAPL,low,11,169.400000,6056,85.64,271,271
2026-09-07 22:08:20+00,2026-09-07 22:08:30+00,ABEV3,low,14,12.006429,5027,100.71,704,704
2026-09-07 22:08:20+00,2026-09-07 22:08:30+00,BBDC4,low,14,13.992143,6192,112.93,902,902
2026-09-07 22:08:20+00,2026-09-07 22:08:30+00,BOVA11,low,9,125.084444,4058,111.56,606,606
2026-09-07 22:08:20+00,2026-09-07 22:08:30+00,BTC-USD,low,6,65104.008333,3742,182.50,1000,1000
2026-09-07 22:08:20+00,2026-09-07 22:08:30+00,ITUB4,low,8,34.035000,5435,16.88,42,42
2026-09-07 22:08:20+00,2026-09-07 22:08:30+00,MGLU3,low,9,1.992222,5727,142.56,803,803
2026-09-07 22:08:20+00,2026-09-07 22:08:30+00,MSFT,low,10,420.429000,4689,46.10,209,209
2026-09-07 22:08:20+00,2026-09-07 22:08:30+00,PETR4,low,9,38.041111,4688,78.22,507,507
2026-09-07 22:08:20+00,2026-09-07 22:08:30+00,VALE3,low,10,61.759000,5280,69.60,300,300
2026-09-07 22:08:30+00,2026-09-07 22:08:40+00,AAPL,low,10,170.579000,4135,35.20,122,122
2026-09-07 22:08:30+00,2026-09-07 22:08:40+00,ABEV3,low,11,11.974545,4648,18.27,64,64
2026-09-07 22:08:30+00,2026-09-07 22:08:40+00,BBDC4,low,6,13.955000,3014,13.33,14,14
2026-09-07 22:08:30+00,2026-09-07 22:08:40+00,BOVA11,low,9,125.385556,3664,36.22,84,84
2026-09-07 22:08:30+00,2026-09-07 22:08:40+00,BTC-USD,low,11,64841.928182,5157,32.73,164,164
